image_ID,score,Y Top,X min,Y bottom,X max,Width,Height,copyright,date,location,pano_id,status,url
gsv_1533.jpg,0.8734210133552551,184,45,313,92,47,129,© Google,2018-07-01,"{'lat': 41.92765967470906, 'lng': -87.68075273647803}",gxgnqxXuzfwBtaZaZ362gg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=gxgnqxXuzfwBtaZaZ362gg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1533.jpg,0.7970440983772278,126,583,308,640,57,182,© Google,2018-07-01,"{'lat': 41.92765967470906, 'lng': -87.68075273647803}",gxgnqxXuzfwBtaZaZ362gg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=gxgnqxXuzfwBtaZaZ362gg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1533.jpg,0.7476533651351929,0,185,320,215,30,320,© Google,2018-07-01,"{'lat': 41.92765967470906, 'lng': -87.68075273647803}",gxgnqxXuzfwBtaZaZ362gg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=gxgnqxXuzfwBtaZaZ362gg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1533.jpg,0.7468042969703674,248,508,324,522,14,76,© Google,2018-07-01,"{'lat': 41.92765967470906, 'lng': -87.68075273647803}",gxgnqxXuzfwBtaZaZ362gg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=gxgnqxXuzfwBtaZaZ362gg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1534.jpg,0.9864002466201782,112,76,372,155,79,260,© Google,2018-07-01,"{'lat': 41.92765967470906, 'lng': -87.68075273647803}",gxgnqxXuzfwBtaZaZ362gg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=gxgnqxXuzfwBtaZaZ362gg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1534.jpg,0.9228973388671875,209,2,341,23,21,132,© Google,2018-07-01,"{'lat': 41.92765967470906, 'lng': -87.68075273647803}",gxgnqxXuzfwBtaZaZ362gg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=gxgnqxXuzfwBtaZaZ362gg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1534.jpg,0.7628374695777893,298,4,341,24,20,43,© Google,2018-07-01,"{'lat': 41.92765967470906, 'lng': -87.68075273647803}",gxgnqxXuzfwBtaZaZ362gg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=gxgnqxXuzfwBtaZaZ362gg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1542.jpg,0.8760392069816589,262,18,370,52,34,108,© Google,2018-07-01,"{'lat': 41.92786419827404, 'lng': -87.68050602083082}",VkZvy3nQ_d56fmsvVO5q_Q,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=VkZvy3nQ_d56fmsvVO5q_Q&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1535.jpg,0.8856770992279053,193,172,357,234,62,164,© Google,2018-07-01,"{'lat': 41.92765967470906, 'lng': -87.68075273647803}",gxgnqxXuzfwBtaZaZ362gg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=gxgnqxXuzfwBtaZaZ362gg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_1535.jpg,0.8363767862319946,248,133,325,152,19,77,© Google,2018-07-01,"{'lat': 41.92765967470906, 'lng': -87.68075273647803}",gxgnqxXuzfwBtaZaZ362gg,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=gxgnqxXuzfwBtaZaZ362gg&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_563.jpg,0.93123459815979,0,0,491,114,114,491,© Google,2015-11-01,"{'lat': 41.92737730003662, 'lng': -87.68447911829327}",vMt3xrp-rfbVfJwsYTFeuQ,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=vMt3xrp-rfbVfJwsYTFeuQ&heading=0&pitch=0&fov=120&key=Your_API_key
gsv_563.jpg,0.9127541780471802,239,88,351,108,20,112,© Google,2015-11-01,"{'lat': 41.92737730003662, 'lng': -87.68447911829327}",vMt3xrp-rfbVfJwsYTFeuQ,OK,https://maps.googleapis.com/maps/api/streetview?size=640x640&pano=vMt3xrp-rfbVfJwsYTFeuQ&heading=0&pitch=0&fov=120&key=Your_API_key
